Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa,C,23,TOR,51,11,20.7,3.4,7.1,0.475,0.5,1.8,0.245,2.9,5.3,0.556,0.507,1.6,2.3,0.686,1.8,4,5.8,0.9,0.5,0.6,1.1,1.8,8.8
2,Steven Adams,C,29,MEM,42,42,27,3.7,6.3,0.597,0,0,0,3.7,6.2,0.599,0.597,1.1,3.1,0.364,5.1,6.5,11.5,2.3,0.9,1.1,1.9,2.3,8.6
3,Bam Adebayo,C,25,MIA,72,72,35.2,8.2,15.1,0.539,0,0.2,0.083,8.1,15,0.544,0.539,4.4,5.5,0.803,2.4,6.9,9.3,3.3,1.2,0.8,2.6,2.8,20.7
4,Ochai Agbaji,SG,22,UTA,55,18,19.6,2.5,5.7,0.438,1.3,3.6,0.374,1.2,2.1,0.547,0.556,0.8,1.1,0.793,0.7,1.3,2,1,0.3,0.2,0.6,1.7,7.2
5,Santi Aldama,PF,22,MEM,75,19,22,3.2,6.9,0.473,1.2,3.5,0.356,2,3.4,0.593,0.563,1.4,1.9,0.754,1.1,3.7,4.8,1.2,0.6,0.6,0.8,1.9,9.1
6,Nickeil Alexander-Walker,SG,24,TOT,56,3,14.9,2.2,5,0.442,1,2.6,0.381,1.2,2.3,0.511,0.543,0.7,1.1,0.667,0.3,1.5,1.8,1.8,0.5,0.3,0.9,1.5,6.1
6,Nickeil Alexander-Walker,SG,24,UTA,36,3,14.7,2.3,4.7,0.488,1,2.4,0.402,1.3,2.3,0.578,0.591,0.8,1.1,0.692,0.2,1.4,1.6,2.1,0.7,0.4,1.3,1.6,6.3
6,Nickeil Alexander-Walker,SG,24,MIN,20,0,15.4,2,5.4,0.37,1.1,3,0.35,1,2.4,0.396,0.468,0.7,1.1,0.619,0.3,1.7,2,1.4,0.3,0.3,0.4,1.3,5.7
7,Grayson Allen,SG,27,MIL,72,70,27.4,3.4,7.7,0.44,2,5.1,0.399,1.4,2.7,0.518,0.571,1.6,1.8,0.905,0.8,2.4,3.3,2.3,0.9,0.2,1,1.6,10.4
8,Jarrett Allen,C,24,CLE,66,66,32.9,6,9.3,0.645,0,0.1,0.111,6,9.1,0.653,0.646,2.5,3.3,0.733,3.3,6.6,9.9,1.7,0.8,1.2,1.4,2.3,14.4
9,Jose Alvarado,PG,24,NOP,61,10,21.5,3.3,8,0.411,1.4,4,0.336,1.9,4,0.488,0.496,1.1,1.3,0.813,0.5,1.9,2.3,3,1.1,0.2,1.3,2,9
10,Kyle Anderson,PF,29,MIN,66,46,28.2,3.7,7.2,0.511,0.6,1.5,0.42,3,5.6,0.535,0.555,1.5,2.1,0.735,1,4.4,5.4,4.8,1.2,0.9,1.5,2.2,9.5
11,Giannis Antetokounmpo,PF,28,MIL,62,62,32.1,11.3,20.4,0.553,0.8,2.8,0.275,10.5,17.6,0.597,0.572,7.9,12.2,0.646,2.2,9.6,11.8,5.6,0.8,0.8,3.8,3.1,31.1
12,Thanasis Antetokounmpo,SF,30,MIL,33,0,4.2,0.3,0.8,0.37,0,0.2,0,0.3,0.7,0.455,0.37,0.2,0.4,0.417,0.3,0.6,0.9,0.2,0.1,0.1,0.3,0.5,0.8
13,Cole Anthony,PG,22,ORL,58,3,25.8,4.6,10.1,0.454,1.2,3.4,0.362,3.4,6.7,0.501,0.515,2.5,2.8,0.89,0.8,4,4.7,3.9,0.6,0.5,1.5,2.7,13
14,OG Anunoby,SF,25,TOR,64,64,35.7,6.3,13.2,0.48,2.2,5.5,0.395,4.2,7.7,0.539,0.562,2.2,2.6,0.838,1.4,3.6,5.1,1.9,1.9,0.7,2,3,17
15,Ryan Arcidiacono,PG,28,TOT,20,4,8.6,0.5,1.9,0.243,0.4,1.2,0.348,0.1,0.7,0.071,0.351,0,0,,0,0.8,0.8,1.2,0.3,0,0.4,0.9,1.3
15,Ryan Arcidiacono,PG,28,NYK,11,0,2.4,0.1,0.5,0.2,0.1,0.3,0.333,0,0.2,0,0.3,0,0,,0,0.4,0.4,0.2,0.2,0,0.1,0.3,0.3
15,Ryan Arcidiacono,PG,28,POR,9,4,16.2,0.9,3.6,0.25,0.8,2.2,0.35,0.1,1.3,0.083,0.359,0,0,,0,1.2,1.2,2.3,0.3,0,0.7,1.6,2.6
16,Deni Avdija,SF,22,WAS,76,40,26.6,3.3,7.6,0.437,0.9,3.1,0.297,2.4,4.6,0.53,0.497,1.6,2.2,0.739,1,5.4,6.4,2.8,0.9,0.4,1.6,2.8,9.2
