"Jailyn Ingram",Georgia,SEC,24,19.6,91.2,19.5,44.4,45.91,2.3,13.8,12.9,17.9,9,15,0.6,7,26,0.269,19,54,0.352,0.8,1.9,18.8,Sr,6-7,15,0.222755,93.3323,4,2023,44344,"Madison, GA",,1.00000000,2,10,5,16,0.2000,0.3125,0,0,,,104.905,101.642,1.00475,44.2158,-1.73337,-1.28923,-0.44414,-1.66335,10.5000,-1.54973,-0.113619,0.2083,1.2917,1.5000,0.6250,0.3333,0.0833,3.3333,"Wing G",12.5484
"Deandre Dishman","Middle Tennessee",CUSA,31,68.6,102.8,24.4,50.6,52.32,10.3,15.3,16,19.1,66,114,0.579,133,264,0.504,1,2,0.5,2.5,2.4,42.9,Sr,6-6,2,2.15612,109.85,2.8,2023,45840,"Lexington, KY",,1.00000000,103,181,29,82,0.5691,0.3537,16,18,0.8889,,101.808,99.5358,2.82794,156.979,2.08135,0.655202,1.42614,1.99428,27.1515,1.55453,0.439748,2.4545,3.2727,5.7273,2.0606,1.1212,0.5758,10.5455,"Wing F",0.139631
"DeJuan Clayton",California,P12,9,22,84.6,21.9,38.1,40.41,1.2,6.1,21.9,14.9,9,12,0.75,7,44,0.159,20,53,0.377,0,1.1,12.4,Sr,6-2,33,0.520288,92.1021,1.5,2023,46161,"Bowie, MD",,1.73330535,0,9,7,35,0.0000,0.2000,0,0,,,113.771,106.834,2.38481,35.1176,-4.18754,-1.15826,-3.02928,-4.32549,31.5556,-1.35654,-2.96896,0.3333,1.5556,1.8889,2.8889,0.5556,0.0000,9.2222,"Pure PG",11.5554
"Brevin Galloway",Clemson,ACC,32,68.2,108.6,20,53,57.97,1.1,8,14.7,16.1,73,84,0.869,67,115,0.583,50,153,0.327,0.8,1.8,31.3,Sr,6-2,11,2.27721,109.878,3,2023,46357,"Anderson, SC",,1.43129628,55,79,12,36,0.6962,0.3333,1,1,1.0000,,102.197,98.8465,3.05225,156.093,3.12446,2.49574,0.628722,1.98274,29.1875,0.922622,1.06011,0.2500,2.1250,2.3750,2.2812,0.8750,0.1875,11.1562,"Combo G",9.66992
"Michael Henn","Penn St.",B10,29,16.6,107.5,17.4,60.5,60.27,5.6,10.1,12.6,21.4,2,4,0.5,15,26,0.577,13,31,0.419,1.3,0.7,7,Sr,6-8,24,0.637975,109.005,7.4,2023,46366,"Bellevue, WA",,1.13341069,15,18,0,8,0.8333,0.0000,0,0,,,107.226,102.318,0.787714,37.3003,1.25754,1.48989,-0.232353,-0.539505,8.6207,-0.993493,0.453988,0.3793,0.7586,1.1379,0.5862,0.1034,0.1034,2.4483,"Stretch 4",7.70457
"David Maynard","The Citadel",SC,30,57.7,113.7,11.1,55.4,57.54,2.2,9.5,11.9,13.3,14,16,0.875,28,41,0.683,26,80,0.325,0.2,1.4,13.2,Sr,6-4,5,0.806587,96.9579,3.6,2023,50190,"Herriman, UT",,2.61126419,26,33,2,8,0.7879,0.2500,0,0,,,113.24,114.213,1.24272,105.647,-2.48995,-0.33516,-2.15479,-2.91021,23.7419,-1.77451,-1.1357,0.4839,2.0323,2.5161,1.5161,0.5484,0.0323,5.0323,"Combo G",6.59569
"Andrew Platek",Siena,MAAC,32,66.9,108.4,18.5,57.9,58.21,1.4,9.7,11.7,16.5,26,44,0.591,52,109,0.477,68,157,0.433,0.6,1.9,16.5,Sr,6-4,22,1.59272,104.358,1.8,2023,50194,"Guilderland, NY",56.8,1.04545455,29,55,23,54,0.5273,0.4259,0,0,,,102.284,105.7,2.18548,137.513,-0.178895,0.851554,-1.03045,1.42153,27.0938,1.63883,-0.217304,0.3125,2.1562,2.4688,1.4375,0.8750,0.1562,10.4375,"Combo G",10.9073
"Jack Perry",Portland,WCC,30,41.3,95.6,9.2,47.4,52.63,0.7,8.1,11.7,27.3,15,18,0.833,0,10,0,18,47,0.383,0,1.9,31.6,Sr,6-3,11,-0.335466,81.551,2,2023,50217,"Melbourne, Australia",,1.44009218,0,2,0,9,0.0000,0.0000,0,0,,,113.084,109.109,1.19028,84.4125,-1.52405,-0.889647,-0.634399,-2.03109,17.2812,-2.07487,0.0437812,0.0938,1.1562,1.2500,1.1250,0.5312,0.0000,2.3438,"Scoring PG",5.1513
"Ra Kpedi","Fort Wayne",Horz,30,71,119.8,13.4,60,59.39,14.5,19.3,3.3,14.4,48,88,0.545,81,135,0.6,0,0,0,1.4,1,65.2,Sr,6-9,3,1.73834,104.869,2.5,2023,50219,"Indianapolis, IN",,0.53333333,77,118,4,17,0.6525,0.2353,20,21,0.9524,,104.071,105.769,2.30937,151.242,-0.544545,-0.280346,-0.264199,-1.20547,27.4375,0.162525,-1.36799,3.6250,4.5000,8.1250,0.5000,0.5000,0.3438,6.7500,C,0
"Emmanuel Akot","Western Kentucky",CUSA,29,69.2,95.9,20,45.8,48.8,2.9,11,13.8,16.3,44,61,0.721,69,154,0.448,34,108,0.315,0.9,1.2,23.3,Sr,6-8,13,0.975916,96.7288,1.8,2023,50224,"Winnipeg, MB",95.4,1.35848389,27,49,42,105,0.5510,0.4000,4,4,1.0000,,108.522,107.423,2.23662,133.266,-1.94672,-0.650741,-1.29598,-2.19467,29.5484,-0.764168,-1.4305,0.7097,3.0000,3.7097,2.3226,0.5484,0.2258,10.0000,"Wing F",7.34341
"Justice Sueing","Ohio St.",B10,35,75.2,103.9,24.1,46.3,50.7,6.8,13.2,11.5,15.3,90,120,0.75,129,272,0.474,28,97,0.289,1.5,1.5,32.5,Sr,6-6,14,2.90612,115.069,2.6,2023,50231,"Honolulu, HI",66.0,1.00000000,69,117,60,155,0.5897,0.3871,10,11,0.9091,,105.005,99.6447,3.08591,176.397,2.97418,2.52597,0.448209,2.29048,30.2857,2.43883,-0.148352,1.7143,3.5143,5.2286,1.8286,0.7429,0.4286,12.3429,"Wing F",5.57525
"Kobe King",Valparaiso,MVC,31,87.2,95,26.3,44.9,49.39,4.4,9.5,10.6,13.5,102,133,0.767,171,358,0.478,19,86,0.221,0.9,1.1,30,Sr,6-4,35,1.61028,100.528,2.1,2023,50235,"La Crosse, WI",60.8,0.79411765,97,164,74,194,0.5915,0.3814,11,11,1.0000,,109.55,110.54,2.25988,164.831,-4.2364,-1.86479,-2.37161,-3.19136,35.2500,-0.828628,-2.36273,1.3125,2.7812,4.0938,1.6875,0.6875,0.2812,16.1875,"Wing G",4.53545
"Parker Stewart","Tennessee Martin",OVC,26,72.5,97.7,25,47.1,50.75,2.7,12.9,12,16.1,72,97,0.742,65,154,0.422,66,194,0.34,0.5,1.9,27.9,Sr,6-5,45,1.33426,99.1217,3.1,2023,50250,"Union City, TN",45.6,0.95454539,24,51,41,103,0.4706,0.3981,2,2,1.0000,,106.242,109.964,2.15825,154.265,-3.02656,-0.243342,-2.78321,-2.91654,31.5333,-0.32855,-2.58799,0.8000,4.0333,4.8333,2.1000,1.3000,0.2000,16.0333,"Wing G",12.5837
"Marcus Carr",Texas,B12,38,84,113,23.1,51.2,54.76,1,9.3,22.5,11.5,105,136,0.772,126,263,0.479,82,223,0.368,0.2,2.7,28,Sr,6-2,5,4.26846,123.84,2.4,2023,50253,"Toronto, ON",71.0,2.63341561,39,65,87,198,0.6000,0.4394,0,0,,,97.9788,92.0144,4.33635,232.621,6.54636,5.05433,1.49203,6.68833,33.9211,4.0839,2.60442,0.2895,2.6842,2.9737,4.1579,1.6316,0.0526,15.8684,"Scoring PG",9.85159
"Jordan Davis",Jacksonville,ASun,26,83.7,99.5,17.5,50.8,53.77,2,15.1,11.9,18,39,53,0.736,63,113,0.558,25,85,0.294,1.7,2.5,26.8,Sr,6-3,11,0.832065,94.3846,1.6,2023,50275,"Irmo, SC",46.6,1.34879956,41,68,22,45,0.6029,0.4889,5,5,1.0000,,103.826,103.041,3.03951,154.161,1.00826,-0.720002,1.72827,0.486232,32.5862,-0.767594,1.25383,0.5862,4.3448,4.9310,2.0000,1.3103,0.3793,9.2414,"Wing G",6.37223
"Terrence Lewis","Grambling St.",SWAC,2,2.6,94.7,21.6,65,68.49,0,3.5,0,34,2,2,1,2,4,0.5,3,6,0.5,0,3.7,20,Sr,6-6,24,0.707794,99.967,5,2023,50284,"Milwaukee, WI",76.4,0.40001200,1,2,1,2,0.5000,0.5000,0,0,,,95.7271,91.4929,2.09453,5.56306,-4.93563,-3.57692,-1.35872,-1.59976,17.3333,-1.48694,-0.112823,0.0000,0.3333,0.3333,0.6667,1.3333,0.0000,9.3333,"Combo G",10.8905
"Luka Vasic","Texas A&M Commerce",Slnd,32,37.7,101.4,15.8,55.2,56.25,3,12.2,10.1,20.7,12,18,0.667,26,49,0.531,25,66,0.379,0.5,0.4,15.7,Sr,6-8,35,0.201733,91.0736,5,2023,50286,"Pirot, Serbia",,1.07406500,19,33,7,16,0.5758,0.4375,0,0,,,112.865,116.282,0.676943,67.1562,-5.95634,-2.30386,-3.65248,-5.86885,15.2424,-2.91933,-2.94951,0.3636,1.5758,1.9394,0.8788,0.1212,0.0606,4.3636,"Stretch 4",7.99453
"Nike Sibande",Pittsburgh,ACC,36,56.2,108.4,18.9,52.1,55.33,2.7,17.5,10.3,14.3,53,71,0.746,61,117,0.521,43,124,0.347,1.1,1.3,29.5,Sr,6-4,22,1.69808,108.995,2.4,2023,50290,"Indianapolis, IN",,1.16209379,46,73,15,44,0.6301,0.3409,4,7,0.5714,,102.457,98.7635,2.37484,148.568,1.36424,1.28463,0.0796154,2.65794,22.4722,2.08012,0.57782,0.5278,3.5833,4.1111,1.1944,0.5000,0.2222,8.4444,"Wing G",9.03296
"Tydus Verhoeven",Northwestern,B10,34,39.2,114.2,10.1,54,55.5,8.7,10.7,8.2,18.2,13,21,0.619,34,62,0.548,0,1,0,5.1,1.8,33.3,Sr,6-9,10,0.861635,103.056,6.5,2023,50312,"Manteca, CA",,1.43752658,29,48,5,14,0.6042,0.3571,6,8,0.7500,,97.0829,92.5079,1.99726,95.3462,4.40406,-0.384398,4.78846,0.966247,15.7941,-2.6509,3.61715,1.2353,1.4118,2.6471,0.6765,0.4706,0.6176,2.3824,C,0.11513
"Eric Williams Jr.","San Diego",WCC,22,61.5,107.2,25.7,48.5,52.54,11.8,22.9,13.9,15.4,67,91,0.736,89,193,0.461,27,74,0.365,0.8,2,34.1,Sr,6-7,50,3.09225,114.795,3.2,2023,50314,"Port Huron, MI",,1.01919592,65,122,24,71,0.5328,0.3380,22,24,0.9167,,112.519,110.855,2.05918,138.606,1.59623,2.60793,-1.01169,0.885568,32.5217,3.19042,-2.30485,3.3478,6.0000,9.3478,2.3043,1.2609,0.2609,14.6522,"Stretch 4",5.86039
"Darius McNeill",Troy,SB,25,40.9,100.9,17.2,47.5,50.66,2.1,8.5,21.9,20,22,30,0.733,49,95,0.516,5,24,0.208,1.4,2.4,25.2,Sr,6-3,1,0.672135,97.0991,5,2023,50351,"Houston, TX",59.0,1.90006939,39,70,10,25,0.5571,0.4000,1,1,1.0000,,101.389,102.07,1.84679,83.5797,-1.44819,-1.75344,0.305248,-2.35434,19.8077,-3.25797,0.903636,0.3462,1.4231,1.7692,2.1923,0.9231,0.2308,5.5385,"Scoring PG",2.84259
"Bryan Trimble Jr.","Missouri St.",MVC,14,28,107.9,16.3,45,47.75,0.7,11.2,5.8,5.6,11,11,1,5,17,0.294,30,94,0.319,0.7,0.9,9.9,Sr,6-3,12,1.42814,103.928,3.2,2023,50363,"Kansas City, MO",31.6,2.00000000,1,2,4,15,0.5000,0.2667,0,0,,,105.203,105.354,2.0397,48.1898,-1.82635,0.677235,-2.50358,-0.921556,25.0000,-0.233898,-0.687658,0.1333,2.2667,2.4000,0.8000,0.4000,0.1333,8.0000,"Wing G",17.0459
"Marco Anthony",Utah,P12,29,70.5,103.5,19.2,46.1,49.69,8.6,14.2,13.4,15.2,68,109,0.624,97,212,0.458,6,18,0.333,0.9,1.5,47.4,Sr,6-6,10,2.24688,108.034,2.2,2023,50369,"San Antonio, TX",51.4,1.38636963,50,101,47,111,0.4950,0.4234,4,6,0.6667,,96.7364,93.0358,3.90565,162.664,3.50114,0.868204,2.63293,3.16475,31.2414,1.46753,1.69722,2.3793,4.2759,6.6552,2.1034,0.7931,0.2759,9.6552,"Wing G",1.19434
"Nelly Cummings",Pittsburgh,ACC,36,80.7,109.3,20.4,50.2,54.4,1.1,7.6,27.7,19.4,68,77,0.883,75,161,0.466,61,171,0.357,0.1,1.4,23.2,Sr,6-0,0,2.79895,112.208,2.9,2023,50413,"Midland, PA",,2.17944347,34,61,41,100,0.5574,0.4100,0,0,,,106.865,103.013,2.93514,174.255,0.718213,2.3776,-1.65939,0.846856,32.2778,1.25171,-0.404858,0.3056,2.2500,2.5556,4.7222,0.7778,0.0278,11.1389,"Scoring PG",8.67496
"Desmond Cambridge Jr.","Arizona St.",P12,34,67,105.2,24.2,48.9,51.57,3.3,9.9,17.7,12,54,65,0.831,82,165,0.497,82,254,0.323,2.1,3.4,15.5,Sr,6-4,4,2.91847,116.871,2.9,2023,50454,"Nashville, TN",,1.61219809,29,51,53,114,0.5686,0.4649,9,9,1.0000,,96.9636,93.1969,3.54531,193.75,6.92085,4.66861,2.25224,7.38295,28.6765,4.59843,2.78452,0.8824,2.6176,3.5000,2.3235,1.6765,0.5294,13.6471,"Combo G",15.0767
"Ejike Obinna","Saint Joseph's",A10,27,45.8,114.1,17.6,68.2,65.55,10.3,17.2,3.5,19.3,46,85,0.541,90,132,0.682,0,0,0,2.2,0.9,64.4,Sr,6-10,50,1.72313,109.438,4.5,2023,50481,"Enugu, Nigeria",68.8,0.27780695,84,119,6,13,0.7059,0.4615,35,39,0.8974,,104.537,104.55,1.91304,109.104,-1.6561,-0.71497,-0.941134,-0.383229,22.5556,0.0743831,-0.457612,2.0741,3.3704,5.4444,0.3704,0.3704,0.4074,8.3704,C,0
"Joe Quintana","Cal Baptist",WAC,28,53.8,98.8,19.9,41,45.4,1.2,7.4,12.4,8.2,46,60,0.767,27,69,0.391,44,158,0.278,1.1,1.9,26.4,Sr,6-2,2,1.01938,99.5499,2.9,2023,50491,"Claremont, CA",,2.49999990,15,42,12,27,0.3571,0.4444,0,1,0.0000,,101.825,102.977,2.16924,108.622,0.121741,0.696665,-0.574924,0.44861,23.7333,-0.283927,0.732537,0.2333,1.6333,1.8667,1.5000,0.7667,0.2333,8.3000,"Combo G",14.2506
"Jerald Gillens-Butler",Elon,CAA,17,37.2,87.9,21.2,42.8,45.96,2.1,10.5,12.4,17.2,25,37,0.676,32,82,0.39,18,56,0.321,1.4,1.8,26.8,Sr,6-5,21,0.0678156,87.9634,3.4,2023,50551,"Orlando, FL",,0.96297697,17,41,15,41,0.4146,0.3659,1,1,1.0000,,110.276,113.615,1.42053,72.346,-5.03715,-3.11523,-1.92192,-4.76911,26.2353,-2.74989,-2.01923,0.4706,2.4118,2.8824,1.5294,0.7647,0.2941,8.4118,"Wing G",7.56316
"Cooper Neese","Indiana St.",MVC,32,68.4,118,16.8,58.6,62.44,1.2,15.4,9.9,11.5,68,81,0.84,69,118,0.585,56,143,0.392,0.3,1.1,31,Sr,6-4,4,2.53005,111.491,1.5,2023,50552,"Cloverdale, IN",53.2,1.66670001,29,41,40,77,0.7073,0.5195,0,0,,,100.303,103.23,2.70894,169.784,2.55398,2.26335,0.290627,2.71696,29.9394,2.66425,0.0527116,0.2727,4.1212,4.3939,1.6667,0.6364,0.1212,11.6364,"Wing G",8.3797
